Id,Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Horizontal_Distance_To_Fire_Points,Cover_Type,Soil_Type,Wilderness_Area,Hillshade
127,2893,83,6,551,101,4011,5755,2,12,1,9am
128,2716,1,10,234,27,2100,5581,2,12,1,Noon
129,2644,125,20,67,25,1719,5168,2,29,1,3pm
130,2613,37,5,216,34,1519,4818,2,12,1,9am
131,2929,356,12,0,0,5757,4017,2,24,1,Noon
132,2767,307,12,30,8,2796,6192,2,29,1,3pm
133,2991,49,13,85,0,6199,3613,1,24,1,9am
134,2939,56,18,95,20,5563,4224,2,24,1,Noon
135,2537,7,12,0,0,1583,4509,2,16,1,3pm
136,3119,119,7,162,10,6660,2556,2,29,1,9am
137,2942,346,12,30,3,5918,3900,1,24,1,Noon
138,2886,12,7,570,94,4295,5518,1,29,1,3pm
139,2775,344,13,42,7,2854,6177,2,29,1,9am
140,2490,79,9,240,13,878,4184,2,18,1,Noon
141,3106,228,18,658,108,5984,1655,1,29,1,3pm
142,2831,284,24,60,23,5208,4611,2,24,1,9am
143,2837,112,8,272,16,3649,6221,2,12,1,Noon
144,2890,299,23,180,79,5104,4734,2,24,1,3pm
145,2824,135,5,218,6,3583,6316,2,20,1,9am
146,2728,135,3,242,32,2250,5515,2,12,1,Noon
147,2962,88,16,190,23,6095,3811,1,24,1,3pm
148,3142,220,11,424,69,6216,1989,2,29,1,9am
149,2847,2,6,175,10,3757,6194,2,20,1,Noon
150,2536,34,5,242,16,1242,4201,2,18,1,3pm
151,3168,95,6,30,0,4884,1239,1,29,1,9am
152,2926,289,24,210,99,5126,4814,1,24,1,Noon
153,2893,21,6,295,36,4106,5865,2,12,1,3pm
154,2687,20,11,150,39,1986,4936,2,12,1,9am
155,3109,211,17,424,55,6089,2017,2,29,1,Noon
156,3119,200,20,60,0,6297,2377,2,29,1,3pm
157,2916,349,10,488,36,4472,5502,1,29,1,9am
158,2795,18,3,218,17,3042,6073,2,12,1,Noon
159,2555,58,14,285,19,1231,4159,2,18,1,3pm
160,2499,42,13,497,-7,953,3950,2,18,1,9am
161,3027,173,11,335,42,5678,1900,1,29,1,Noon
162,3096,160,15,85,16,6156,2310,1,29,1,3pm
163,2916,105,13,268,89,5618,4417,2,29,1,9am
164,2591,42,12,350,22,1398,4224,2,29,1,Noon
165,3185,328,16,127,13,4763,1392,1,29,1,3pm
166,3021,221,10,324,39,5675,1937,1,29,1,9am
167,3083,257,4,510,-25,6363,2873,2,29,1,Noon
168,2860,276,33,60,33,5292,4759,2,24,1,3pm
169,3008,196,15,228,20,5535,1924,2,23,1,9am
170,3034,189,14,384,66,5754,2012,1,29,1,Noon
171,2873,130,16,67,16,4030,6091,2,30,1,3pm
172,3182,49,13,319,7,4767,1513,1,29,1,9am
173,2998,102,12,384,158,6026,4121,2,29,1,Noon
174,2658,357,20,300,54,1597,4286,2,29,1,3pm
175,3175,15,7,366,92,4816,1584,1,29,1,9am
176,2952,8,7,488,125,4953,5192,1,20,1,Noon
177,2622,95,12,484,39,1329,4086,2,29,1,3pm
178,2955,288,21,247,128,5224,4968,2,24,1,9am
179,2837,66,9,201,23,3655,6341,2,20,1,Noon
180,3182,45,3,458,109,4723,1661,1,29,1,3pm
181,3077,129,3,618,43,6296,3261,2,29,1,9am
182,2755,320,4,30,-1,2890,5468,2,12,1,Noon
183,3047,28,11,600,13,6414,3540,1,29,1,3pm
184,2880,86,12,30,3,4369,5906,2,30,1,9am
185,3221,292,3,424,49,4401,1710,1,29,1,Noon
186,3182,115,10,553,10,4605,1768,1,29,1,3pm
187,3064,29,24,150,46,5051,2148,1,29,1,9am
188,2827,332,15,42,9,3599,6067,2,29,1,Noon
189,2518,107,5,360,39,553,3522,2,18,1,3pm
190,3050,180,4,277,-3,5782,2721,1,29,1,9am
191,3107,356,12,283,89,4855,2069,1,29,1,Noon
192,2995,173,15,268,135,6312,4135,2,30,1,3pm
193,2721,164,4,67,-2,1747,4191,2,12,1,9am
194,3182,116,7,579,10,4425,1854,1,29,1,Noon
195,2724,132,11,60,-2,2720,4875,2,12,1,3pm
196,2515,90,9,313,39,511,3451,2,18,1,9am
197,3017,46,22,212,52,5118,2352,1,29,1,Noon
198,3077,256,4,618,210,6230,3734,2,29,1,3pm
199,2929,338,8,190,39,4393,6106,2,12,1,9am
200,2735,127,12,67,6,2806,4924,2,12,1,Noon
201,2893,319,20,150,43,5825,4667,2,24,1,3pm
202,3231,45,4,648,59,4173,1921,1,29,1,9am
203,2560,89,10,218,34,731,3505,2,29,1,Noon
204,3162,43,15,484,144,4657,2188,1,29,1,3pm
205,2982,188,14,120,-2,5501,2750,1,29,1,9am
206,2731,66,5,0,0,2826,4873,2,20,1,Noon
207,3172,50,11,759,0,4287,2037,1,20,1,3pm
208,2916,138,21,127,49,6349,4206,2,29,1,9am
209,2890,63,17,153,35,3670,5757,2,30,1,Noon
210,2704,45,10,323,22,1323,3734,2,12,1,3pm
211,3198,23,18,604,180,4545,2285,1,29,1,9am
212,2985,214,5,342,63,5495,3195,2,29,1,Noon
213,3011,323,21,443,161,5838,4910,2,24,1,3pm
214,3024,312,18,474,177,5785,4961,2,24,1,9am
215,2763,7,12,85,17,2850,4788,2,24,1,Noon
216,3244,56,16,618,76,3865,2225,1,40,1,3pm
217,2955,9,10,85,10,5167,2819,1,16,1,9am
218,3201,10,13,984,180,4136,2289,1,23,1,Noon
219,2972,36,25,30,0,5113,2816,1,29,1,3pm
220,2985,167,13,458,66,5571,3519,2,29,1,9am
221,2539,23,17,90,15,488,3115,2,29,1,Noon
222,3001,260,8,720,134,5790,3903,2,29,1,3pm
223,2952,51,10,150,16,5123,2960,1,16,1,9am
224,2962,211,13,255,43,5365,3337,2,29,1,Noon
225,3004,0,12,484,85,5068,5840,1,12,1,3pm
226,2727,45,4,124,21,2285,4245,2,12,1,9am
227,3004,167,17,603,137,5798,4031,2,29,1,Noon
228,2886,22,8,285,31,3849,5557,2,29,1,3pm
229,3024,344,8,600,105,5201,5764,1,12,1,9am
230,3034,187,14,335,148,6084,4921,2,30,1,Noon
231,2903,279,13,190,26,4179,5904,2,29,1,3pm
232,2926,245,4,30,7,5180,3331,1,23,1,9am
233,2942,200,16,180,23,5276,3470,2,29,1,Noon
234,2991,54,13,495,65,4849,6214,2,12,1,3pm
235,2742,116,9,150,21,2475,4314,2,12,1,9am
236,2606,356,18,67,26,911,3174,2,29,1,Noon
237,3244,326,5,750,53,3730,2460,1,23,1,3pm
238,3237,27,14,997,36,4002,2506,1,23,1,9am
239,2616,359,24,42,15,977,3186,2,29,1,Noon
240,2913,16,11,457,58,3974,5568,2,29,1,3pm
241,2813,48,7,201,35,3018,4729,2,24,1,9am
242,2530,149,1,319,51,234,2726,2,29,1,Noon
243,3260,45,7,503,69,3558,2531,1,40,1,3pm
244,3047,90,3,870,128,5484,5635,2,12,1,9am
245,2955,60,20,201,33,4934,3248,1,29,1,Noon
246,2893,77,13,85,7,6012,4682,2,29,1,3pm
247,2965,38,24,247,49,4883,3315,1,29,1,9am
248,3037,230,15,570,151,5985,5238,2,29,1,Noon
249,3027,152,10,792,108,5316,5912,2,12,1,3pm
250,2756,70,16,120,35,2501,4210,2,12,1,9am
251,2939,325,6,510,62,4078,5584,2,20,1,Noon
252,3198,126,9,418,23,4200,2858,1,19,1,3pm
253,3195,90,7,362,20,4243,2880,1,23,1,9am
254,2975,222,6,360,89,5719,4519,2,29,1,Noon
255,2890,84,13,30,4,5918,4761,2,30,1,3pm
256,3018,109,10,815,132,5833,5486,2,29,1,9am
257,3011,85,5,842,85,5389,5975,2,12,1,Noon
258,3221,79,16,618,20,3968,2868,1,23,1,3pm
259,3004,135,7,811,78,5383,6017,2,29,1,9am
260,2572,49,20,384,53,391,2509,2,29,1,Noon
261,3260,128,11,743,46,3824,2854,1,23,1,3pm
262,3168,25,4,30,0,4426,3180,1,20,1,9am
263,2878,349,12,67,0,3489,4924,2,29,1,Noon
264,3198,9,8,301,23,4099,3076,1,19,1,3pm
265,2975,260,8,391,66,6071,5262,2,29,1,9am
266,3178,38,10,0,0,4286,3248,1,29,1,Noon
267,2995,176,10,690,86,6068,5533,2,29,1,3pm
268,2913,144,8,210,20,5478,4733,2,30,1,9am
269,2982,175,9,424,56,5267,6500,1,12,1,Noon
270,2945,209,12,362,36,5877,5354,2,29,1,3pm
271,2995,143,2,631,23,5459,6349,1,29,1,9am
272,2942,0,3,0,0,4830,6062,2,20,1,Noon
273,2945,288,5,0,0,4801,6034,2,20,1,3pm
274,2959,288,8,120,14,4683,5920,2,12,1,9am
275,2796,114,13,60,8,2599,3934,2,12,1,Noon
276,2785,315,2,60,-2,2486,3829,2,23,1,3pm
277,2784,325,17,153,33,1798,3198,2,30,1,9am
278,2789,320,15,182,50,1771,3174,2,30,1,Noon
279,2922,162,19,240,22,5076,4536,2,30,1,3pm
280,3008,135,3,931,36,5727,6096,2,29,1,9am
281,2978,73,10,323,49,5160,6368,2,29,1,Noon
282,2892,54,11,134,12,3178,4457,2,12,1,3pm
283,2521,45,10,42,2,408,2066,2,20,1,9am
284,2985,72,7,497,13,5372,6482,1,29,1,Noon
285,3057,39,19,626,144,4435,3955,1,29,1,3pm
286,2829,78,9,60,8,2941,4187,2,23,1,9am
287,3201,331,5,0,0,4002,3460,1,20,1,Noon
288,3136,329,13,789,-13,4228,3798,1,29,1,3pm
289,2548,355,14,60,7,551,2058,2,20,1,9am
290,2962,89,9,42,3,4891,6046,2,12,1,Noon
291,2808,15,13,201,20,2431,3651,2,12,1,3pm
292,2749,87,12,516,43,1499,2797,2,12,1,9am
293,3155,328,14,849,-19,4184,3871,1,29,1,Noon
294,2991,285,11,849,98,5939,6068,2,20,1,3pm
295,2968,108,5,306,49,4113,5265,2,12,1,9am
296,2932,77,13,108,21,3911,5067,2,30,1,Noon
297,2808,356,7,153,3,2592,3757,2,23,1,3pm
298,2794,106,4,210,37,1888,3079,1,12,1,9am
299,3080,24,17,659,167,4377,4176,1,29,1,Noon
300,2936,52,16,180,27,4656,4456,1,23,1,3pm
301,2913,261,10,313,10,5706,5517,2,29,1,9am
302,2919,232,8,323,19,5728,5539,2,29,1,Noon
303,2978,257,6,85,13,4795,5905,2,12,1,3pm
304,2574,312,14,134,32,636,1924,2,30,1,9am
305,3142,59,21,730,-32,4155,4070,1,29,1,Noon
306,2804,15,10,212,47,1917,3031,1,12,1,3pm
307,2595,9,14,42,19,799,2010,2,30,1,9am
308,2929,232,8,366,33,5835,5776,2,29,1,Noon
309,3001,246,9,764,101,5961,6227,2,29,1,3pm
310,2813,94,7,371,56,1800,2872,2,30,1,9am
311,2988,342,6,192,26,4805,5836,2,12,1,Noon
312,3175,59,18,612,0,4042,4184,1,23,1,3pm
313,2861,0,6,134,10,2980,3972,2,30,1,9am
314,2804,61,7,362,10,1838,2825,2,30,1,Noon
315,3001,78,10,335,29,5320,6310,1,12,1,3pm
316,2914,141,9,277,18,3471,4430,2,12,1,9am
317,2668,41,17,283,68,1276,2240,2,30,1,Noon
318,3185,129,12,481,10,3899,4273,1,29,1,3pm
319,2913,216,9,268,20,5715,5983,1,16,1,9am
320,3168,72,5,418,-6,3855,4394,1,23,1,Noon
321,2955,30,9,30,3,4478,5370,2,20,1,3pm
322,2932,100,7,30,-6,4280,5166,2,19,1,9am
323,3234,0,11,658,26,3589,4109,1,23,1,Noon
324,3201,53,7,488,26,3667,4255,1,29,1,3pm
325,2903,236,5,212,10,5656,6046,1,16,1,9am
326,2874,352,2,400,19,2869,3653,2,29,1,Noon
327,2903,254,6,212,3,5689,6195,1,16,1,3pm
328,2800,45,12,0,0,2244,2958,1,20,1,9am
329,3257,336,9,693,52,3443,4246,1,23,1,Noon
330,3188,278,5,210,13,3634,4526,1,29,1,3pm
331,2952,62,8,192,30,4487,5251,2,29,1,9am
332,2932,237,16,342,36,5797,6409,1,29,1,Noon
333,3050,281,4,630,85,5540,6162,2,12,1,3pm
334,2955,285,11,212,19,4302,5057,2,29,1,9am
335,2791,41,17,458,-18,1740,2294,2,12,1,Noon
336,3172,162,3,180,7,3632,4624,1,29,1,3pm
337,3116,69,14,297,-6,3870,4802,1,29,1,9am
338,2895,51,10,162,0,3326,4002,2,12,1,Noon
339,3182,122,6,134,7,3510,4585,1,29,1,3pm
340,3024,81,9,218,49,4152,5114,2,29,1,9am
341,2962,251,9,480,66,5863,6356,2,29,1,Noon
342,2978,27,4,192,13,4780,5502,2,12,1,3pm
343,2952,40,12,323,0,4558,5268,2,12,1,9am
344,2945,348,13,255,32,3768,4425,2,12,1,Noon
345,3149,188,7,134,17,3718,4831,1,29,1,3pm
346,2833,150,15,242,23,1953,2407,1,30,1,9am
347,3136,185,10,42,4,3623,4858,1,29,1,Noon
348,2851,49,13,268,46,2538,3037,2,29,1,3pm
349,2933,111,8,300,20,3644,4221,2,12,1,9am
350,2810,110,6,421,0,1871,2178,1,12,1,Noon
351,3267,85,10,484,62,3194,4518,1,40,1,3pm
352,3188,30,16,85,13,3340,4753,1,29,1,9am
353,2955,37,5,426,42,3905,4475,2,12,1,Noon
354,3001,276,9,752,103,5893,6012,2,29,1,3pm
355,3008,281,10,780,110,5864,5998,2,29,1,9am
356,2942,28,5,391,29,3707,4228,2,12,1,Noon
357,2921,331,9,395,8,3516,4024,2,12,1,3pm
358,2985,315,5,361,20,5023,5570,2,12,1,9am
359,2978,289,14,570,42,4480,5007,2,12,1,Noon
360,2889,51,20,362,66,2689,3049,2,29,1,3pm
361,2814,103,3,210,4,2145,2316,2,12,1,9am
362,2938,127,9,408,107,2896,3239,2,12,1,Noon
363,2828,95,11,127,15,2467,2714,2,29,1,3pm
364,3146,95,12,240,-28,3287,5052,1,30,1,9am
365,2977,94,8,466,12,4283,4676,2,12,1,Noon
366,3034,45,2,680,46,5544,5490,2,12,1,3pm
367,3083,61,19,192,-9,3320,5380,1,30,1,9am
368,3044,23,5,210,-25,3481,5476,1,20,1,Noon
369,2982,90,8,242,-35,3695,5609,1,20,1,3pm
370,2901,176,15,256,49,3181,3360,2,30,1,9am
371,2995,66,6,247,13,4770,5126,2,29,1,Noon
372,2528,151,6,108,4,598,390,2,23,1,3pm
373,3188,112,8,60,3,2880,5166,1,29,1,9am
374,2939,243,24,400,41,5619,5753,2,29,1,Noon
375,3008,215,11,696,112,5880,5600,2,29,1,3pm
376,3021,238,9,815,125,5855,5543,2,29,1,9am
377,2937,80,11,330,15,4094,4354,2,12,1,Noon
378,2844,317,10,67,20,2758,2724,2,29,1,3pm
379,2781,13,3,351,25,2148,1707,2,29,1,9am
380,2945,252,18,421,47,5615,5686,2,29,1,Noon
381,2857,143,12,85,8,3111,3161,2,30,1,3pm
382,3021,53,7,258,-12,3544,5720,1,29,1,9am
383,2919,141,3,192,3,3992,6047,1,29,1,Noon
384,2800,185,9,170,22,2382,2001,2,12,1,3pm
385,2773,151,18,350,119,1680,983,5,30,1,9am
386,2759,144,17,300,105,1590,895,5,30,1,Noon
387,2714,117,20,242,93,1470,779,5,30,1,3pm
388,2671,109,26,175,55,1350,664,5,30,1,9am
389,2975,126,9,120,3,4763,4928,2,29,1,Noon
390,2775,148,19,335,101,1770,1061,5,30,1,3pm
391,2746,149,18,268,92,1620,912,5,30,1,9am
392,2743,148,19,255,89,1590,883,5,30,1,Noon
393,2717,108,16,201,79,1500,794,5,30,1,3pm
394,2751,136,14,277,77,1680,967,5,30,1,9am
395,2739,131,14,242,75,1620,908,5,30,1,Noon
396,2733,133,16,228,79,1590,878,5,30,1,3pm
397,2716,117,15,175,62,1500,789,5,30,1,9am
398,2611,99,14,30,2,1200,495,5,30,1,Noon
399,3073,123,11,0,0,3060,5654,1,29,1,3pm
400,3060,167,18,95,16,3251,5755,2,29,1,9am
401,2899,120,8,162,19,3944,4034,2,12,1,Noon
402,2861,107,8,30,0,3434,3406,2,23,1,3pm
403,2853,351,3,0,0,3342,3287,2,23,1,9am
404,2785,202,8,134,18,2429,1860,2,12,1,Noon
405,2723,127,16,190,69,1560,845,5,30,1,3pm
406,2656,110,23,85,35,1350,636,5,30,1,9am
407,3064,194,10,30,4,3111,5721,1,20,1,Noon
408,3050,167,16,67,6,3229,5783,2,29,1,3pm
409,3004,141,13,124,3,3500,5934,2,29,1,9am
410,2952,58,10,201,16,3736,6078,2,29,1,Noon
411,3034,68,12,362,43,5550,5100,1,29,1,3pm
412,2703,130,20,127,49,1500,780,5,30,1,9am
413,2685,128,23,95,31,1440,722,5,30,1,Noon
414,2661,119,25,67,23,1380,663,5,30,1,3pm
415,3057,101,4,0,0,3069,5740,1,20,1,9am
416,3050,139,13,30,-3,3127,5770,1,20,1,Noon
417,3060,342,5,495,69,5700,5139,1,12,1,3pm
418,2945,49,14,0,0,4671,4737,1,23,1,9am
419,2704,123,18,124,40,1530,797,5,30,1,Noon
420,2676,129,24,67,22,1440,713,5,30,1,3pm
421,2621,81,14,0,0,1290,571,5,30,1,9am
422,3060,45,13,30,3,3046,5768,1,29,1,Noon
423,2975,136,15,124,7,3543,6039,2,29,1,3pm
424,3067,21,4,518,76,5739,5125,1,12,1,9am
425,2719,128,16,150,45,1621,874,5,30,1,Noon
426,2638,86,15,0,0,1351,618,5,30,1,3pm
427,2700,115,19,67,26,1533,779,5,30,1,9am
428,2673,108,22,42,9,1473,721,5,30,1,Noon
429,2654,71,11,0,0,1413,664,5,30,1,3pm
430,2664,50,12,0,0,1445,684,5,30,1,9am
431,3050,80,8,360,59,5638,4978,1,29,1,Noon
432,2858,125,8,268,7,3288,3034,2,12,1,3pm
433,2854,163,9,285,5,3246,2974,2,12,1,9am
434,3047,56,11,95,29,3182,5994,1,29,1,Noon
435,2873,351,6,201,11,3459,3242,2,12,1,3pm
436,2680,23,12,0,0,1511,730,5,29,1,9am
437,2676,9,14,30,2,1481,700,5,29,1,Noon
438,2678,9,15,42,7,1421,641,5,29,1,3pm
439,2839,120,9,190,23,3055,2612,2,12,1,9am
440,2792,86,7,228,4,2862,2282,2,12,1,Noon
441,3103,74,11,201,49,2870,5920,1,29,1,3pm
442,2995,6,14,201,13,5167,4670,2,29,1,9am
443,2702,90,1,0,0,1727,932,2,20,1,Noon
444,2991,282,8,268,32,5024,4582,1,29,1,3pm
445,3004,31,6,180,13,5222,4624,2,29,1,9am
446,2919,117,6,150,0,3903,6349,2,20,1,Noon
447,2945,258,14,376,45,5535,5134,2,29,1,3pm
448,3054,270,1,390,63,5742,4830,2,12,1,9am
449,2978,75,5,295,50,4847,4455,1,29,1,Noon
450,2915,81,8,0,0,4345,4260,2,23,1,3pm
451,2756,30,4,150,2,2571,1770,2,12,1,9am
452,2717,155,4,0,0,2037,1230,2,20,1,Noon
453,2928,315,1,150,23,4194,4050,2,29,1,3pm
454,2770,95,3,258,7,2813,2011,2,12,1,9am
455,2656,77,23,283,-23,1320,518,2,30,1,Noon
456,2750,124,5,150,9,2370,1565,2,12,1,3pm
457,2907,45,7,350,13,4041,3783,2,29,1,9am
458,2781,65,13,42,6,3162,2465,2,20,1,Noon
459,2715,203,5,124,-1,1920,1120,2,12,1,3pm
460,2968,338,11,216,23,3426,6508,1,20,1,9am
461,2739,130,8,134,26,2160,1366,2,12,1,Noon
462,2922,129,3,218,18,4283,4027,2,29,1,3pm
463,2792,101,6,108,29,3180,2442,2,12,1,9am
464,3064,90,8,371,23,2822,6357,1,29,1,Noon
465,3041,243,14,513,50,5911,4636,2,29,1,3pm
466,2888,32,8,470,72,3700,3164,2,12,1,9am
467,3080,180,1,247,39,2715,6347,1,29,1,Noon
468,2613,132,27,170,55,1260,558,2,30,1,3pm
469,2978,135,4,108,13,3247,6576,1,29,1,9am
470,2952,353,12,0,0,4928,4105,1,20,1,Noon
471,2773,81,14,108,24,3019,2338,2,12,1,3pm
472,3057,90,8,390,16,2783,6452,1,29,1,9am
473,3064,45,16,228,60,5623,4361,2,29,1,Noon
474,2742,174,9,268,23,2455,1725,2,12,1,3pm
475,2677,167,16,85,9,1680,953,2,12,1,9am
476,2567,140,18,60,9,1110,492,2,30,1,Noon
477,2739,142,6,228,20,2465,1761,2,12,1,3pm
478,3001,267,14,641,101,5749,4570,2,29,1,9am
479,3014,5,31,95,54,4950,3973,1,29,1,Noon
480,2584,343,13,150,39,812,480,2,29,1,3pm
481,2902,104,6,558,89,3643,3107,2,12,1,9am
482,3047,155,9,424,85,2760,6661,1,29,1,Noon
